PRISM Time Series Data,
Location:  Lat: 43.1075   Lon: -73.8639   Elev: 620ft,
Climate variable: tmin,
Spatial resolution: 4km,
Period: 1970 - 2012,
Dataset: AN81m,
PRISM day definition: 24 hours ending at 1200 UTC on the day shown,
Grid Cell Interpolation: Off,
Time series generated: 2019-Jan-10,
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf,
Date,tmin (degrees F)
1970,33.3
1971,33.7
1972,33
1973,34.9
1974,32.6
1975,33.7
1976,32.5
1977,34.8
1978,32.2
1979,34.7
1980,33
1981,34.3
1982,33.2
1983,35.4
1984,35.3
1985,35.1
1986,35.7
1987,35.6
1988,34.7
1989,34.4
1990,37.6
1991,37.1
1992,34.8
1993,34.5
1994,34.2
1995,35.7
1996,35.8
1997,34.9
1998,38.7
1999,36.8
2000,35.6
2001,37
2002,37.2
2003,34.8
2004,35.6
2005,36.6
2006,38.2
2007,35.3
2008,35.8
2009,35.6
2010,38.6
2011,37.5
2012,39
