PRISM Time Series Data,,
Location:  Lat: 43.1075   Lon: -73.8639   Elev: 620ft,,
"Climate variables: tmin,tmax",,
Spatial resolution: 4km,,
Period: 1895 - 2017,,
Dataset: AN81m,,
PRISM day definition: 24 hours ending at 1200 UTC on the day shown,,
Grid Cell Interpolation: Off,,
Time series generated: 2019-Jan-10,,
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf,,
Date,tmin (degrees F),tmax (degrees F)
1895,35,55.3
1896,35.6,54.5
1897,35.6,54.8
1898,37.5,56.7
1899,36,55.4
1900,36.3,56.6
1901,35.8,55.4
1902,35.4,55.5
1903,35.6,54.9
1904,32.4,52.1
1905,33.7,53.9
1906,35.5,55.3
1907,34,53.4
1908,35.1,56.6
1909,34.7,55.1
1910,35,55.5
1911,35.5,56.4
1912,33.8,54.6
1913,36.5,58
1914,33.3,54.2
1915,36,55.7
1916,34.8,54.5
1917,33.2,52.4
1918,35,55.9
1919,36.8,56.5
1920,35,55.3
1921,37.3,58.9
1922,35,56.7
1923,32.3,55.5
1924,32.8,54.6
1925,36.2,55.5
1926,33.5,53.3
1927,36.2,56.2
1928,36.3,56
1929,35.3,55.9
1930,36.3,57.9
1931,37.6,58.3
1932,37.1,56.7
1933,37.2,57.4
1934,34.7,56.1
1935,35.3,55.8
1936,35.8,57
1937,36.9,57
1938,36.7,57.9
1939,34.8,56.4
1940,33.4,53.8
1941,35.7,58.2
1942,36.2,56.9
1943,34.4,55.6
1944,35.4,57.1
1945,35.5,56.8
1946,35.1,58.2
1947,35.2,56.7
1948,34.1,57.2
1949,37.3,59.4
1950,34.7,56.3
1951,36,56.9
1952,37.2,57.3
1953,38.5,59.7
1954,36.7,56.9
1955,36.6,57.3
1956,34.6,55.6
1957,36.1,58
1958,34.6,55
1959,36.3,57.7
1960,34.7,56.9
1961,34.7,56.6
1962,32.7,55.6
1963,32.1,55.7
1964,33.7,57.7
1965,33.4,55.9
1966,33.5,56.3
1967,33.5,55.2
1968,33.4,55.9
1969,34.3,56
1970,33.3,55.8
1971,33.7,56
1972,33,54.4
1973,34.9,57.9
1974,32.6,55.7
1975,33.7,56.6
1976,32.5,55.5
1977,34.8,56.4
1978,32.2,55.5
1979,34.7,56.7
1980,33,56.1
1981,34.3,56.8
1982,33.2,56.2
1983,35.4,57
1984,35.3,56.8
1985,35.1,56
1986,35.7,56
1987,35.6,56.7
1988,34.7,56.5
1989,34.4,55.4
1990,37.6,58.4
1991,37.1,58.7
1992,34.8,54.6
1993,34.5,55.7
1994,34.2,55.9
1995,35.7,56.7
1996,35.8,55.3
1997,34.9,55.5
1998,38.7,59.1
1999,36.8,58.6
2000,35.6,55.6
2001,37,58.1
2002,37.2,57.8
2003,34.8,55.7
2004,35.6,55.9
2005,36.6,57.8
2006,38.2,58.1
2007,35.3,56.6
2008,35.8,56.4
2009,35.6,55.8
2010,38.6,58.9
2011,37.5,57.3
2012,39,59.6
2013,36.6,56.7
2014,35.4,55.4
2015,35.7,57.1
2016,38.1,59.1
2017,37.9,57.9
