PRISM Time Series Data
Location:  Lat: 43.1075   Lon: -73.8639   Elev: 620ft
Climate variable: tmean
Spatial resolution: 4km
Period: 1895 - 2017
Dataset: AN81m
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: Off
Time series generated: 2019-Jan-08
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,tmean (degrees F)
1895,45.1
1896,45.1
1897,45.2
1898,47.1
1899,45.7
1900,46.4
1901,45.6
1902,45.5
1903,45.2
1904,42.3
1905,43.8
1906,45.4
1907,43.7
1908,45.9
1909,44.9
1910,45.3
1911,46.0
1912,44.2
1913,47.2
1914,43.8
1915,45.9
1916,44.7
1917,42.8
1918,45.4
1919,46.7
1920,45.1
1921,48.1
1922,45.8
1923,43.9
1924,43.7
1925,45.9
1926,43.4
1927,46.2
1928,46.2
1929,45.6
1930,47.1
1931,48.0
1932,46.9
1933,47.3
1934,45.4
1935,45.5
1936,46.4
1937,46.9
1938,47.3
1939,45.6
1940,43.6
1941,47.0
1942,46.6
1943,45.0
1944,46.2
1945,46.1
1946,46.7
1947,46.0
1948,45.7
1949,48.4
1950,45.5
1951,46.4
1952,47.3
1953,49.1
1954,46.8
1955,46.9
1956,45.1
1957,47.1
1958,44.8
1959,47.0
1960,45.8
1961,45.6
1962,44.2
1963,43.9
1964,45.7
1965,44.6
1966,44.9
1967,44.3
1968,44.7
1969,45.1
1970,44.5
1971,44.9
1972,43.7
1973,46.4
1974,44.1
1975,45.1
1976,44.0
1977,45.6
1978,43.9
1979,45.7
1980,44.6
1981,45.6
1982,44.7
1983,46.2
1984,46.0
1985,45.6
1986,45.8
1987,46.2
1988,45.6
1989,44.9
1990,48.0
1991,47.9
1992,44.7
1993,45.1
1994,45.1
1995,46.2
1996,45.6
1997,45.2
1998,48.9
1999,47.7
2000,45.6
2001,47.5
2002,47.5
2003,45.2
2004,45.7
2005,47.2
2006,48.1
2007,45.9
2008,46.1
2009,45.7
2010,48.8
2011,47.4
2012,49.3
2013,46.6
2014,45.4
2015,46.4
2016,48.6
2017,47.9
