PRISM Time Series Data
Location:  Lat: 43.1075   Lon: -73.8639   Elev: 620ft
"Climate variables: ppt,tmean"
Spatial resolution: 4km
Period: 1895 - 2017
Dataset: AN81m
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: Off
Time series generated: 2019-Jan-08
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (inches),tmean (degrees F)
1895,36.73,45.1
1896,40.62,45.1
1897,48.70,45.2
1898,46.68,47.1
1899,37.69,45.7
1900,38.15,46.4
1901,41.42,45.6
1902,45.02,45.5
1903,45.63,45.2
1904,41.76,42.3
1905,41.38,43.8
1906,42.98,45.4
1907,44.48,43.7
1908,35.57,45.9
1909,40.00,44.9
1910,39.94,45.3
1911,36.93,46.0
1912,39.27,44.2
1913,37.86,47.2
1914,36.79,43.8
1915,43.31,45.9
1916,39.11,44.7
1917,38.03,42.8
1918,39.43,45.4
1919,41.32,46.7
1920,43.05,45.1
1921,38.44,48.1
1922,43.87,45.8
1923,40.22,43.9
1924,37.86,43.7
1925,48.04,45.9
1926,38.72,43.4
1927,46.22,46.2
1928,38.34,46.2
1929,44.52,45.6
1930,32.66,47.1
1931,42.85,48.0
1932,42.74,46.9
1933,38.83,47.3
1934,37.08,45.4
1935,46.61,45.5
1936,45.38,46.4
1937,43.63,46.9
1938,41.90,47.3
1939,36.38,45.6
1940,45.57,43.6
1941,33.18,47.0
1942,42.40,46.6
1943,41.94,45.0
1944,41.37,46.2
1945,50.93,46.1
1946,37.99,46.7
1947,41.34,46.0
1948,45.56,45.7
1949,36.05,48.4
1950,42.34,45.5
1951,50.00,46.4
1952,44.12,47.3
1953,43.32,49.1
1954,48.00,46.8
1955,44.81,46.9
1956,39.38,45.1
1957,33.80,47.1
1958,37.94,44.8
1959,40.36,47.0
1960,40.25,45.8
1961,35.36,45.6
1962,36.82,44.2
1963,31.96,43.9
1964,26.86,45.7
1965,33.47,44.6
1966,39.03,44.9
1967,38.35,44.3
1968,41.24,44.7
1969,41.50,45.1
1970,37.57,44.5
1971,43.81,44.9
1972,53.65,43.7
1973,44.00,46.4
1974,43.22,44.1
1975,51.77,45.1
1976,50.91,44.0
1977,49.94,45.6
1978,36.14,43.9
1979,43.52,45.7
1980,34.26,44.6
1981,39.96,45.6
1982,36.86,44.7
1983,52.06,46.2
1984,43.61,46.0
1985,34.43,45.6
1986,49.53,45.8
1987,42.85,46.2
1988,37.88,45.6
1989,44.80,44.9
1990,53.13,48.0
1991,37.50,47.9
1992,40.27,44.7
1993,41.45,45.1
1994,44.42,45.1
1995,37.41,46.2
1996,50.55,45.6
1997,40.48,45.2
1998,40.83,48.9
1999,37.83,47.7
2000,50.18,45.6
2001,32.60,47.5
2002,51.77,47.5
2003,53.07,45.2
2004,44.76,45.7
2005,50.62,47.2
2006,54.75,48.1
2007,48.02,45.9
2008,59.96,46.1
2009,49.35,45.7
2010,46.24,48.8
2011,61.40,47.4
2012,43.30,49.3
2013,47.87,46.6
2014,48.84,45.4
2015,41.97,46.4
2016,39.80,48.6
2017,45.38,47.9
