PRISM Time Series Data,
Location:  Lat: 43.1075   Lon: -73.8639   Elev: 620ft,
Climate variable: tmean,
Spatial resolution: 4km,
Period: 1895-01 - 2018-12,
Dataset: AN81m,
PRISM day definition: 24 hours ending at 1200 UTC on the day shown,
Grid Cell Interpolation: Off,
Time series generated: 2019-Jan-09,
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf,
Date,tmean (degrees F)
1895-01,18.8
1895-02,16.4
1895-03,27
1895-04,45.8
1895-05,60.9
1895-06,69.9
1895-07,66.7
1895-08,66.7
1895-09,61.3
1895-10,42.9
1895-11,37.6
1895-12,27.7
1896-01,17.6
1896-02,21.2
1896-03,24.6
1896-04,47.1
1896-05,59.9
1896-06,64.2
1896-07,70.6
1896-08,68.3
1896-09,58.7
1896-10,45.4
1896-11,40.5
1896-12,22.7
1897-01,20.8
1897-02,22.6
1897-03,30.8
1897-04,44.5
1897-05,55.8
1897-06,61.1
1897-07,71.7
1897-08,65.1
1897-09,58.7
1897-10,49.8
1897-11,35.7
1897-12,25.7
1898-01,19.6
1898-02,24.5
1898-03,37.7
1898-04,43
1898-05,56.6
1898-06,67.3
1898-07,72.6
1898-08,69.8
1898-09,62.6
1898-10,50.9
1898-11,35.5
1898-12,24.8
1899-01,18.2
1899-02,19.1
1899-03,28.5
1899-04,44.7
1899-05,56.5
1899-06,66.9
1899-07,69.8
1899-08,68.5
1899-09,58.8
1899-10,51.8
1899-11,37.4
1899-12,28.1
1900-01,22
1900-02,21.6
1900-03,24.7
1900-04,44.9
1900-05,54.9
1900-06,66.6
1900-07,70.5
1900-08,70.2
1900-09,63
1900-10,54.8
1900-11,39
1900-12,24.5
1901-01,20
1901-02,15.3
1901-03,29.7
1901-04,47.3
1901-05,56.8
1901-06,67.2
1901-07,73.1
1901-08,69.7
1901-09,61.9
1901-10,50.4
1901-11,32.3
1901-12,23.8
1902-01,17
1902-02,21.9
1902-03,39.4
1902-04,47.3
1902-05,55.8
1902-06,61.9
1902-07,67.6
1902-08,65.6
1902-09,59.5
1902-10,48.2
1902-11,41.4
1902-12,20.2
1903-01,20.5
1903-02,25.1
1903-03,40.6
1903-04,44.8
1903-05,58.6
1903-06,60.8
1903-07,68.2
1903-08,60.5
1903-09,60.1
1903-10,49.9
1903-11,33.6
1903-12,19.9
1904-01,12.4
1904-02,12.7
1904-03,27.7
1904-04,41
1904-05,59.6
1904-06,65
1904-07,68.4
1904-08,65.9
1904-09,58.3
1904-10,46
1904-11,32.6
1904-12,17.4
1905-01,16.5
1905-02,13
1905-03,28.5
1905-04,43.6
1905-05,55.9
1905-06,63.3
1905-07,69
1905-08,65
1905-09,59.2
1905-10,49.1
1905-11,34.4
1905-12,27.9
1906-01,28.3
1906-02,19
1906-03,24.5
1906-04,43.8
1906-05,55.7
1906-06,66.3
1906-07,68.9
1906-08,69.9
1906-09,62.8
1906-10,49.9
1906-11,35
1906-12,20.8
1907-01,19.3
1907-02,13.7
1907-03,33.2
1907-04,40.4
1907-05,50.6
1907-06,63.3
1907-07,68.8
1907-08,65.5
1907-09,60.2
1907-10,44.9
1907-11,35.8
1907-12,28.7
1908-01,21.1
1908-02,15.9
1908-03,31.1
1908-04,42.6
1908-05,58.7
1908-06,65.7
1908-07,71.8
1908-08,66.1
1908-09,63.1
1908-10,52
1908-11,37.7
1908-12,24.8
1909-01,22.6
1909-02,24.3
1909-03,28.8
1909-04,42.7
1909-05,55.5
1909-06,65.4
1909-07,67.1
1909-08,66
1909-09,59
1909-10,46
1909-11,39.6
1909-12,21.8
1910-01,21.2
1910-02,18.5
1910-03,37.1
1910-04,49.4
1910-05,55.1
1910-06,63
1910-07,70.8
1910-08,66.5
1910-09,59.4
1910-10,50.5
1910-11,34.5
1910-12,17.2
1911-01,22.4
1911-02,19.6
1911-03,28.3
1911-04,42
1911-05,63.2
1911-06,63.3
1911-07,72.1
1911-08,68.1
1911-09,59.2
1911-10,47.7
1911-11,34.4
1911-12,31.3
1912-01,10.5
1912-02,16.9
1912-03,26.1
1912-04,43.3
1912-05,56.5
1912-06,61.5
1912-07,70.3
1912-08,63.6
1912-09,61.9
1912-10,50
1912-11,39.1
1912-12,30.4
1913-01,30.8
1913-02,18
1913-03,34.8
1913-04,47.6
1913-05,54.5
1913-06,64.5
1913-07,68.8
1913-08,67.6
1913-09,59.1
1913-10,52.6
1913-11,40.2
1913-12,28.3
1914-01,17.6
1914-02,12.8
1914-03,29
1914-04,40.9
1914-05,58.8
1914-06,63.7
1914-07,67.8
1914-08,67.5
1914-09,59.5
1914-10,51.6
1914-11,34.1
1914-12,21.9
1915-01,22.7
1915-02,25.8
1915-03,28.3
1915-04,50.6
1915-05,52.3
1915-06,63.3
1915-07,68
1915-08,64.3
1915-09,63.3
1915-10,49.7
1915-11,38
1915-12,24.4
1916-01,24.1
1916-02,17.5
1916-03,23
1916-04,44
1916-05,56
1916-06,60.3
1916-07,72
1916-08,69.8
1916-09,60.5
1916-10,49
1916-11,35.4
1916-12,24.3
1917-01,20.3
1917-02,16.7
1917-03,30.4
1917-04,43.1
1917-05,48.2
1917-06,64.4
1917-07,70.4
1917-08,69.9
1917-09,58
1917-10,45
1917-11,33.1
1917-12,14
1918-01,10.8
1918-02,17.9
1918-03,31.9
1918-04,45.8
1918-05,62
1918-06,61.6
1918-07,69.8
1918-08,70.1
1918-09,56.3
1918-10,51.1
1918-11,39.2
1918-12,28.7
1919-01,26
1919-02,26.3
1919-03,34.6
1919-04,43.5
1919-05,56.2
1919-06,68.8
1919-07,70.7
1919-08,65
1919-09,60.8
1919-10,52
1919-11,36.4
1919-12,19.8
1920-01,11.5
1920-02,19.3
1920-03,31.5
1920-04,41.7
1920-05,54.5
1920-06,64.5
1920-07,67.2
1920-08,69.8
1920-09,62.4
1920-10,55.2
1920-11,35.5
1920-12,28.4
1921-01,24.5
1921-02,25.3
1921-03,40
1921-04,51.5
1921-05,58.3
1921-06,66
1921-07,73.3
1921-08,65.9
1921-09,64
1921-10,49.4
1921-11,36.1
1921-12,22.8
1922-01,16.4
1922-02,24
1922-03,32.8
1922-04,44.7
1922-05,58.9
1922-06,65.7
1922-07,68.6
1922-08,66.5
1922-09,61.7
1922-10,49.5
1922-11,38
1922-12,23.2
1923-01,15.8
1923-02,14.2
1923-03,25.5
1923-04,43
1923-05,53.2
1923-06,65.2
1923-07,66.9
1923-08,65
1923-09,61
1923-10,48.1
1923-11,36.4
1923-12,32.2
1924-01,22.3
1924-02,13.4
1924-03,31.9
1924-04,42.1
1924-05,51
1924-06,62.3
1924-07,67.7
1924-08,66.3
1924-09,56.9
1924-10,48.7
1924-11,38.3
1924-12,23.4
1925-01,15.4
1925-02,28.2
1925-03,38
1925-04,48.1
1925-05,54.1
1925-06,67.6
1925-07,67.5
1925-08,66.8
1925-09,59.8
1925-10,42.2
1925-11,36.8
1925-12,26
1926-01,21.4
1926-02,18.7
1926-03,25
1926-04,39
1926-05,54.8
1926-06,60.8
1926-07,70.3
1926-08,68.1
1926-09,59.2
1926-10,47.2
1926-11,37.3
1926-12,18.6
1927-01,19.2
1927-02,26.9
1927-03,34.7
1927-04,44.1
1927-05,53.5
1927-06,61.3
1927-07,69.1
1927-08,64.3
1927-09,60.9
1927-10,52.9
1927-11,41.2
1927-12,26.5
1928-01,23.6
1928-02,22.3
1928-03,30.1
1928-04,41.5
1928-05,55.5
1928-06,61.9
1928-07,70.4
1928-08,71
1928-09,57.8
1928-10,50.8
1928-11,38.4
1928-12,30.4
1929-01,20.3
1929-02,20.8
1929-03,35.3
1929-04,45.2
1929-05,55.4
1929-06,65.1
1929-07,68.6
1929-08,64.8
1929-09,62.4
1929-10,47.4
1929-11,37.7
1929-12,23.8
1930-01,21.9
