PRISM Time Series Data,,
Location:  Lat: 43.1075   Lon: -73.8639   Elev: 620ft,,
"Climate variables: ppt,tmean",,
Spatial resolution: 4km,,
Period: 1993-01 - 2018-12,,
Dataset: AN81m,,
PRISM day definition: 24 hours ending at 1200 UTC on the day shown,,
Grid Cell Interpolation: Off,,
Time series generated: 2019-Jan-10,,
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf,,
Date,ppt (inches),tmean (degrees F)
1993-01,3.2,24.2
1993-02,3.21,14.8
1993-03,4.4,28.4
1993-04,6.09,45.5
1993-05,1.16,57.5
1993-06,4.72,64
1993-07,2.12,70.6
1993-08,2.45,69.1
1993-09,3.38,58.9
1993-10,2.99,46.9
1993-11,4.2,36.9
1993-12,3.54,24.6
1994-01,4.43,9.5
1994-02,1.69,15.9
1994-03,5.27,30.6
1994-04,3.41,46.3
1994-05,3.95,55.2
1994-06,5.22,67.4
1994-07,6.57,71.7
1994-08,4.31,65.5
1994-09,2.69,59.1
1994-10,0.59,48.4
1994-11,2.94,41.7
1994-12,3.35,29.5
1995-01,2.8,27.7
1995-02,2.39,19.6
1995-03,1.97,36.2
1995-04,2.29,41.4
1995-05,1.5,55.5
1995-06,1.94,66.5
1995-07,3.37,72.6
1995-08,2.98,69.3
1995-09,2.75,57.7
1995-10,8.77,52.4
1995-11,4.22,34.6
1995-12,2.43,20.8
1996-01,4.82,18.3
1996-02,1.79,22.8
1996-03,1.96,28.9
1996-04,5.92,44
1996-05,4.57,53.8
1996-06,3.5,66.8
1996-07,7.58,68.2
1996-08,3.1,68.6
1996-09,4.32,61.2
1996-10,2.97,48.3
1996-11,4.14,33.7
1996-12,5.89,31.9
1997-01,2.9,19.7
1997-02,2.58,26.5
1997-03,4.32,30.1
1997-04,4.01,42.9
1997-05,2.78,52.2
1997-06,1.94,66.5
1997-07,2.7,68.8
1997-08,5.16,67.2
1997-09,3.21,59.1
1997-10,2.66,47.7
1997-11,5.21,34.7
1997-12,3.02,27.7
1998-01,6.43,26
1998-02,2.11,29.2
1998-03,3.54,35.1
1998-04,2.47,48
1998-05,3.15,62
1998-06,8.72,65.1
1998-07,2.96,69.3
1998-08,3.1,68.9
1998-09,2.22,61.8
1998-10,2.36,50.1
1998-11,1.86,38.6
1998-12,1.9,32.6
1999-01,6.47,19.2
1999-02,1.28,26.1
1999-03,4.58,32
1999-04,0.72,45.1
1999-05,2.88,58.6
1999-06,2.43,68.5
1999-07,3.31,72.5
1999-08,2.49,67.4
1999-09,7.62,63.6
1999-10,2.77,47.6
1999-11,2.07,43.4
1999-12,1.23,28.6
2000-01,4.87,18.9
2000-02,3.19,25.5
2000-03,3.63,37.8
2000-04,5.77,43.7
2000-05,5.21,57.9
2000-06,5.65,64.6
2000-07,5.25,66.2
2000-08,4.52,66.7
2000-09,2.07,58.8
2000-10,3,49.4
2000-11,2.72,37.4
2000-12,4.3,20.2
2001-01,1.11,22
2001-02,2.35,24.7
2001-03,6.5,28.7
2001-04,1.22,44.5
2001-05,3.28,58.2
2001-06,4.51,66.8
2001-07,2.82,67.4
2001-08,1.93,71.4
2001-09,3.25,61.3
2001-10,1.02,51.1
2001-11,2.09,42.2
2001-12,2.53,32.2
2002-01,1.8,28.6
2002-02,3.51,29.1
2002-03,4.59,33.8
2002-04,4.35,47.5
2002-05,5.22,53.2
2002-06,7.18,65.5
2002-07,1.89,71
2002-08,3.9,70.1
2002-09,4.72,63.8
2002-10,4.89,46.3
2002-11,4.93,36.9
2002-12,4.37,24.6
2003-01,2.44,13.2
2003-02,2.42,18.3
2003-03,2.41,32
2003-04,3.79,42.3
2003-05,4.48,55.5
2003-06,3.6,65.2
2003-07,5.4,70
2003-08,6.02,70.9
2003-09,6.87,61.9
2003-10,5.17,47.4
2003-11,4.28,40.3
2003-12,5.82,25.9
2004-01,1.65,11.9
2004-02,1.64,20.5
2004-03,2.07,35
2004-04,3.66,46.3
2004-05,6.31,59.8
2004-06,2.24,63.6
2004-07,6.92,68.8
2004-08,5.57,67.7
2004-09,4.14,62.2
2004-10,1.7,48.8
2004-11,3.52,38.8
2004-12,5.31,25.4
2005-01,3.75,17.6
2005-02,1.94,24.4
2005-03,3.89,28.5
2005-04,5.05,48
2005-05,2.18,52.9
2005-06,3.93,70.8
2005-07,3.5,72.1
2005-08,4.06,71.7
2005-09,3.52,64.5
2005-10,9.3,50.5
2005-11,5.62,40.9
2005-12,3.48,24.3
2006-01,4.72,29.2
2006-02,2.01,25.2
2006-03,1.8,32.8
2006-04,4.88,47.2
2006-05,5.54,56.9
2006-06,8.33,65.8
2006-07,6.31,71.5
2006-08,3.44,66.9
2006-09,2.85,58.7
2006-10,6.57,47
2006-11,3.62,42.8
2006-12,4.42,33.5
2007-01,4.3,24.2
2007-02,3.21,16.6
2007-03,4.85,29.3
2007-04,5.95,41.4
2007-05,2.58,58
2007-06,3.48,67.2
2007-07,3.82,67.7
2007-08,1.83,68.6
2007-09,3.9,62.2
2007-10,4.61,54.8
2007-11,4.52,35.8
2007-12,4.98,25.3
2008-01,2.91,23.7
2008-02,7.53,22.9
2008-03,6.46,30.1
2008-04,3.28,49.1
2008-05,1.71,53.4
2008-06,4.3,67.4
2008-07,9.26,69.3
2008-08,4.12,65.6
2008-09,3.88,61.6
2008-10,6.21,46.7
2008-11,2.9,37.4
2008-12,7.2,26.2
2009-01,3.53,14.6
2009-02,2,24.4
2009-03,3.3,33.6
2009-04,2.13,46.8
2009-05,4.56,57.1
2009-06,5.38,62.9
2009-07,6.17,66.7
2009-08,6.28,69.2
2009-09,2.77,58.7
2009-10,6.01,46.9
2009-11,2.59,42.7
2009-12,4.5,24.7
2010-01,2.33,22.9
2010-02,4.47,26.2
2010-03,4.37,40.2
2010-04,2.03,50.7
2010-05,2.13,60.5
2010-06,5.43,66.7
2010-07,2.68,73.3
2010-08,4.11,69.5
2010-09,2.44,62.6
2010-10,9.13,49.7
2010-11,3.2,38.6
2010-12,3.92,24.4
2011-01,2.79,18.4
2011-02,3.39,20.5
2011-03,5.46,31.2
2011-04,6.63,46
2011-05,5.38,59.7
2011-06,6.09,65.6
2011-07,3.03,72
2011-08,9.44,68.4
2011-09,8.6,63.2
2011-10,4.25,50.5
2011-11,2.51,42.1
2011-12,3.94,30.8
2012-01,3.56,25.4
2012-02,0.61,29.3
2012-03,2.05,42.6
2012-04,2.77,46.4
2012-05,6.96,61.3
2012-06,3.84,65.4
2012-07,3.3,72.4
2012-08,3.36,69.3
2012-09,4.79,60.2
2012-10,5.83,52.3
2012-11,0.8,36.4
2012-12,5.5,30.7
2013-01,1.64,22.4
2013-02,2.13,24.2
2013-03,2.68,32.1
2013-04,3.8,44.5
2013-05,5.04,58.9
2013-06,8.4,65.8
2013-07,6.56,73.6
2013-08,3.77,66.9
2013-09,2.57,59.7
2013-10,3.24,51.4
2013-11,4.67,35.2
2013-12,3.08,24.9
2014-01,2.8,17
2014-02,4.15,19.7
2014-03,3.68,24.4
2014-04,3.31,45
2014-05,4.48,58.5
2014-06,6.22,66.1
