PRISM Time Series Data,,,,,,
Locations: 48,,,,,,
"Climate variables: ppt,tmean",,,,,,
Spatial resolution: 4km,,,,,,
Period: 1895 - 2017,,,,,,
Dataset: AN81m,,,,,,
PRISM day definition: 24 hours ending at 1200 UTC on the day shown,,,,,,
Grid Cell Interpolation: Off,,,,,,
Time series generated: 2019-Jan-08,,,,,,
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf,,,,,,
Name,Longitude,Latitude,Elevation (ft),Date,ppt (inches),tmean (degrees F)
"Montgomery, ",-86.2791,32.3615,256,1895,46.74,64
"Montgomery, ",-86.2791,32.3615,256,1896,45.15,66.3
"Montgomery, ",-86.2791,32.3615,256,1897,46.25,66.4
"Montgomery, ",-86.2791,32.3615,256,1898,43.9,65.3
"Montgomery, ",-86.2791,32.3615,256,1899,44.06,65.5
"Montgomery, ",-86.2791,32.3615,256,1900,60.55,65.6
"Montgomery, ",-86.2791,32.3615,256,1901,54.44,63.7
"Montgomery, ",-86.2791,32.3615,256,1902,48.18,65.6
"Montgomery, ",-86.2791,32.3615,256,1903,50.19,63.8
"Montgomery, ",-86.2791,32.3615,256,1904,37.46,65.1
"Montgomery, ",-86.2791,32.3615,256,1905,48.67,64.8
"Montgomery, ",-86.2791,32.3615,256,1906,53.37,65.3
"Montgomery, ",-86.2791,32.3615,256,1907,51.69,66
"Montgomery, ",-86.2791,32.3615,256,1908,46.17,66.2
"Montgomery, ",-86.2791,32.3615,256,1909,58.64,65.8
"Montgomery, ",-86.2791,32.3615,256,1910,43.7,64.9
"Montgomery, ",-86.2791,32.3615,256,1911,47.39,67.5
"Montgomery, ",-86.2791,32.3615,256,1912,71.97,64.4
"Montgomery, ",-86.2791,32.3615,256,1913,46.24,65.7
"Montgomery, ",-86.2791,32.3615,256,1914,39.37,64.9
"Montgomery, ",-86.2791,32.3615,256,1915,54.51,65.7
"Montgomery, ",-86.2791,32.3615,256,1916,45.98,65.8
"Montgomery, ",-86.2791,32.3615,256,1917,55.27,64
"Montgomery, ",-86.2791,32.3615,256,1918,52.12,66
"Montgomery, ",-86.2791,32.3615,256,1919,66.47,66.4
"Montgomery, ",-86.2791,32.3615,256,1920,64.13,64.5
"Montgomery, ",-86.2791,32.3615,256,1921,45.94,67.9
"Montgomery, ",-86.2791,32.3615,256,1922,54.02,67.6
"Montgomery, ",-86.2791,32.3615,256,1923,54.64,65.9
"Montgomery, ",-86.2791,32.3615,256,1924,48.55,64.5
"Montgomery, ",-86.2791,32.3615,256,1925,42.91,67.3
"Montgomery, ",-86.2791,32.3615,256,1926,56.3,65.2
"Montgomery, ",-86.2791,32.3615,256,1927,36.04,68.1
"Montgomery, ",-86.2791,32.3615,256,1928,51.96,64.9
"Montgomery, ",-86.2791,32.3615,256,1929,75.37,65.8
"Montgomery, ",-86.2791,32.3615,256,1930,42.05,65.8
"Montgomery, ",-86.2791,32.3615,256,1931,37.81,66.8
"Montgomery, ",-86.2791,32.3615,256,1932,53.68,66.8
"Montgomery, ",-86.2791,32.3615,256,1933,47.54,67.8
"Montgomery, ",-86.2791,32.3615,256,1934,48.94,66
"Montgomery, ",-86.2791,32.3615,256,1935,44.04,66.3
"Montgomery, ",-86.2791,32.3615,256,1936,60.83,66.8
"Montgomery, ",-86.2791,32.3615,256,1937,54.24,66
"Montgomery, ",-86.2791,32.3615,256,1938,43.32,67.2
"Montgomery, ",-86.2791,32.3615,256,1939,56.3,67
"Montgomery, ",-86.2791,32.3615,256,1940,51.11,64.2
"Montgomery, ",-86.2791,32.3615,256,1941,45.74,66.5
"Montgomery, ",-86.2791,32.3615,256,1942,51.95,65.2
"Montgomery, ",-86.2791,32.3615,256,1943,48.13,66
"Montgomery, ",-86.2791,32.3615,256,1944,54.62,66.4
"Montgomery, ",-86.2791,32.3615,256,1945,54.2,66.7
"Montgomery, ",-86.2791,32.3615,256,1946,61.75,66.8
"Montgomery, ",-86.2791,32.3615,256,1947,55.83,65.2
"Montgomery, ",-86.2791,32.3615,256,1948,64.83,66.4
"Montgomery, ",-86.2791,32.3615,256,1949,50.55,67
"Montgomery, ",-86.2791,32.3615,256,1950,45.1,66
"Montgomery, ",-86.2791,32.3615,256,1951,40.65,66.7
"Montgomery, ",-86.2791,32.3615,256,1952,43.98,66
"Montgomery, ",-86.2791,32.3615,256,1953,58.7,66.4
"Montgomery, ",-86.2791,32.3615,256,1954,25.26,66.7
"Montgomery, ",-86.2791,32.3615,256,1955,41.89,66.1
"Montgomery, ",-86.2791,32.3615,256,1956,52.83,65.8
"Montgomery, ",-86.2791,32.3615,256,1957,52.9,66.2
"Montgomery, ",-86.2791,32.3615,256,1958,47.05,63.8
"Montgomery, ",-86.2791,32.3615,256,1959,48.11,65.4
"Montgomery, ",-86.2791,32.3615,256,1960,46.58,64
"Montgomery, ",-86.2791,32.3615,256,1961,69.03,64.1
"Montgomery, ",-86.2791,32.3615,256,1962,48.38,65.4
"Montgomery, ",-86.2791,32.3615,256,1963,44.83,64.1
"Montgomery, ",-86.2791,32.3615,256,1964,69.69,64.1
"Montgomery, ",-86.2791,32.3615,256,1965,49.47,64.9
