,"Almonds, with shell",Apples,Apricots,Artichokes,Asparagus,Avocados,Bananas,Barley,"Beans, dry","Beans, green",Berries nes,Blueberries,Buckwheat,Cabbages and other brassicas,Carrots and turnips,Castor oil seed,Cauliflowers and broccoli,Cherries,"Cherries, sour",Chick peas,"Chillies and peppers, dry","Chillies and peppers, green","Coffee, green","Cow peas, dry",Cranberries,Cucumbers and gherkins,Currants,Dates,Eggplants (aubergines),Figs,"Fruit, citrus nes","Fruit, fresh nes",Garlic,Ginger,Grapefruit (inc. pomelos),Grapes,"Groundnuts, with shell","Hazelnuts, with shell",Hops,Kiwi fruit,Lemons and limes,Lentils,Lettuce and chicory,Linseed,Maize,"Maize, green","Mangoes, mangosteens, guavas","Melons, other (inc.cantaloupes)",Millet,Mustard seed,"Nuts, nes",Oats,Okra,Olives,"Onions, dry",Oranges,Papayas,Peaches and nectarines,Pears,"Peas, dry","Peas, green",Pineapples,Pistachios,Plums and sloes,Potatoes,"Pumpkins, squash and gourds",Rapeseed,Raspberries,"Rice, paddy",Rye,Safflower seed,Seed cotton,Sesame seed,Sorghum,Soybeans,Spinach,Strawberries,String beans,Sugar beet,Sugar cane,Sunflower seed,Sweet potatoes,"Tangerines, mandarins, clementines, satsumas",Taro (cocoyam),"Tobacco, unmanufactured",Tomatoes,"Vegetables, fresh nes","Vegetables, leguminous nes","Walnuts, with shell",Watermelons,Wheat,Cereals (Rice Milled Eqv),"Cereals,Total","Citrus Fruit,Total","Coarse Grain, Total",Fibre Crops Primary,"Fruit excl Melons,Total",Oilcakes Equivalent,Oilcrops Primary,"Pulses,Total","Roots and Tubers,Total","Treenuts,Total",Vegetables Primary,"Vegetables&Melons, Total"
1961,16669.0,139842.0,107146.0,67247.0,28027.0,48990.0,105447.0,16489.0,15413.0,48340.0,65685.0,61525.0,10887.0,170880.0,239372.0,9828.0,101677.0,58772.0,53200.0,,,94667.0,15500.0,6519.0,64611.0,93670.0,35426.0,114200.0,141600.0,69725.0,,123170.0,89657.0,,272232.0,142683.0,13286.0,14167.0,17354.0,,211563.0,6786.0,195622.0,5537.0,39184.0,82225.0,,121505.0,11546.0,9496.0,,15171.0,,34982.0,285642.0,203086.0,297875.0,123872.0,167179.0,11873.0,70848.0,260626.0,,91816.0,222021.0,,,38316.0,38227.0,11122.0,9607.0,13486.0,5488.0,27442.0,16900.0,85501.0,64330.0,51293.0,368358.0,993693.0,10000.0,88222.0,127285.0,222759.0,19684.0,254496.0,234949.0,,10633.0,105983.0,16070.0,25092.0,25223.0,212003.0,29421.0,4915.0,152837.0,9514.0,2472.0,14050.0,207287.0,24272.0,130228.0,130228.0
1962,11558.0,141510.0,96730.0,61656.0,28572.0,44532.0,97139.0,18839.0,14049.0,49198.0,69112.0,61507.0,11738.0,173739.0,226055.0,9639.0,107384.0,61328.0,57680.0,,,96208.0,24500.0,5453.0,72209.0,92491.0,49278.0,129141.0,176011.0,82278.0,,122632.0,117859.0,,255769.0,137030.0,13757.0,9695.0,16921.0,,247851.0,10756.0,212568.0,7204.0,40621.0,84800.0,,118123.0,11717.0,9493.0,,16225.0,,41199.0,297420.0,231848.0,333500.0,122452.0,180521.0,16584.0,72156.0,278651.0,,97608.0,220346.0,,,43772.0,41785.0,12893.0,15851.0,13963.0,5556.0,27679.0,16302.0,88783.0,66338.0,50120.0,370620.0,941870.0,10648.0,94737.0,125009.0,226810.0,21212.0,296746.0,244999.0,,12543.0,108828.0,16809.0,26661.0,26831.0,231787.0,30766.0,5124.0,159982.0,9409.0,2489.0,13832.0,203932.0,15335.0,139221.0,139221.0
1963,13684.0,143045.0,115581.0,67260.0,29000.0,50850.0,91981.0,18808.0,16153.0,48797.0,57756.0,78421.0,11995.0,176205.0,221478.0,9677.0,104717.0,36432.0,27081.0,,,101264.0,12000.0,6548.0,69905.0,99240.0,50476.0,117935.0,141407.0,71970.0,,120148.0,112098.0,,229193.0,158190.0,15593.0,9071.0,17626.0,,204772.0,11152.0,204705.0,6142.0,42596.0,87734.0,,126520.0,12500.0,9432.0,,16253.0,,45003.0,299316.0,185681.0,319800.0,126940.0,120462.0,17396.0,68208.0,300195.0,,84350.0,229710.0,,,53679.0,44449.0,11524.0,15590.0,15557.0,5455.0,27573.0,16432.0,102036.0,71399.0,50662.0,420456.0,936467.0,11097.0,94251.0,80632.0,228744.0,22334.0,281348.0,240051.0,,13221.0,121760.0,16949.0,27832.0,28006.0,189751.0,32427.0,5790.0,148465.0,9758.0,2585.0,15569.0,214229.0,29861.0,136510.0,136510.0
1964,16517.0,156929.0,124560.0,72914.0,27284.0,31137.0,114667.0,20209.0,13886.0,40138.0,65009.0,60558.0,11567.0,171157.0,220288.0,9720.0,106196.0,59678.0,93867.0,,,100867.0,22814.0,5909.0,72036.0,94283.0,57216.0,129676.0,151830.0,75776.0,,129274.0,128871.0,,225486.0,143797.0,16837.0,10618.0,18352.0,,295532.0,12330.0,206346.0,5422.0,39498.0,85377.0,,115067.0,12526.0,9409.0,,15472.0,,42341.0,281997.0,158616.0,343750.0,130135.0,183102.0,20641.0,64561.0,294875.0,,108744.0,212448.0,,,46871.0,45906.0,12026.0,16828.0,15744.0,5333.0,26181.0,15309.0,103155.0,82254.0,47038.0,379862.0,821565.0,8240.0,96177.0,140012.0,223041.0,23179.0,293393.0,239961.0,,14120.0,110228.0,17344.0,26204.0,26393.0,179366.0,30565.0,5797.0,150694.0,9423.0,2480.0,14411.0,200103.0,22797.0,135754.0,135754.0
1965,13932.0,158906.0,132615.0,78461.0,28015.0,57109.0,84583.0,23071.0,12302.0,48648.0,70298.0,66378.0,11875.0,181130.0,245736.0,9408.0,111771.0,42989.0,60884.0,,,95789.0,17698.0,5829.0,77290.0,97371.0,74086.0,118250.0,171896.0,70088.0,,103623.0,134468.0,,270775.0,178455.0,18622.0,10272.0,19216.0,,237056.0,12329.0,213200.0,8008.0,46492.0,88345.0,,120920.0,12727.0,9570.0,,18001.0,,40463.0,321229.0,194041.0,274719.0,134755.0,123435.0,19469.0,76123.0,323845.0,,100165.0,235879.0,,,40007.0,47693.0,14193.0,23274.0,15933.0,,32405.0,16508.0,102058.0,61139.0,50288.0,370068.0,859740.0,9527.0,103156.0,137524.0,242363.0,21296.0,302597.0,245049.0,,12811.0,115887.0,17853.0,30207.0,30408.0,206814.0,36422.0,5909.0,164159.0,10404.0,2717.0,12841.0,221505.0,23741.0,140652.0,140652.0
1966,16126.0,153463.0,115638.0,84120.0,29038.0,57605.0,97531.0,20582.0,14835.0,46192.0,92496.0,64639.0,11957.0,176425.0,242163.0,9466.0,109111.0,54819.0,31235.0,,,93054.0,19492.0,6439.0,84864.0,96868.0,94194.0,119647.0,172102.0,78353.0,,116753.0,112119.0,,298553.0,153124.0,19059.0,16669.0,19342.0,,262978.0,10665.0,214574.0,5699.0,45892.0,89972.0,,118746.0,12745.0,9528.0,,16118.0,,53096.0,293284.0,209847.0,353042.0,135222.0,184494.0,16228.0,65548.0,346954.0,,76254.0,235409.0,,,45501.0,48442.0,13671.0,21717.0,14675.0,,35026.0,17087.0,102196.0,65750.0,45964.0,395361.0,879012.0,10088.0,99249.0,223425.0,253614.0,21739.0,283528.0,224815.0,,14781.0,115632.0,17688.0,29945.0,30167.0,228004.0,35997.0,5383.0,167091.0,11148.0,2839.0,14497.0,222417.0,22276.0,135606.0,135606.0
1967,13781.0,147490.0,89640.0,85230.0,27132.0,75282.0,89780.0,21785.0,13769.0,50913.0,67154.0,64639.0,11935.0,190230.0,241314.0,9583.0,104399.0,49890.0,31621.0,,,103236.0,13941.0,5771.0,74240.0,92193.0,71828.0,113743.0,175183.0,51414.0,,97333.0,128871.0,,351749.0,126272.0,19784.0,10309.0,18618.0,,270942.0,11760.0,217766.0,6368.0,50265.0,93521.0,,133519.0,12963.0,9465.0,,17674.0,,11624.0,309456.0,252018.0,323813.0,110893.0,112049.0,16309.0,72088.0,348333.0,,89704.0,234712.0,,,43372.0,50851.0,14141.0,20039.0,14006.0,,31633.0,16498.0,103977.0,79278.0,49788.0,386752.0,951946.0,11611.0,108379.0,236054.0,230181.0,22981.0,293083.0,245050.0,,11698.0,113989.0,17375.0,31400.0,31612.0,267485.0,39331.0,5007.0,172341.0,11197.0,2821.0,13626.0,223694.0,21884.0,140516.0,140516.0
1968,12362.0,151143.0,91689.0,67251.0,29573.0,47811.0,75825.0,23557.0,13723.0,47389.0,64866.0,64639.0,11935.0,194778.0,297167.0,9750.0,112168.0,39794.0,50161.0,,,106742.0,15969.0,,77454.0,87132.0,42593.0,121027.0,165518.0,68838.0,,97178.0,140104.0,,268181.0,146926.0,19844.0,10657.0,17260.0,,256008.0,12791.0,224563.0,8096.0,49891.0,99649.0,,133112.0,13253.0,9536.0,,19256.0,,71405.0,301918.0,163049.0,333813.0,146956.0,148403.0,16895.0,72025.0,317638.0,,82031.0,239308.0,,,37180.0,49600.0,14476.0,23542.0,16022.0,,33046.0,17986.0,111219.0,94192.0,49909.0,399058.0,918633.0,11347.0,110923.0,183244.0,246185.0,21802.0,346492.0,251967.0,,14559.0,109038.0,19116.0,31867.0,32128.0,185037.0,38902.0,5785.0,153468.0,12016.0,3029.0,14142.0,227884.0,20984.0,151708.0,151708.0
1969,18355.0,189960.0,140788.0,72917.0,27353.0,70788.0,74441.0,24039.0,14431.0,50495.0,68365.0,23920.0,11912.0,188221.0,260775.0,9987.0,107362.0,54674.0,58290.0,,,94733.0,12760.0,,96044.0,90121.0,47059.0,85239.0,161514.0,78506.0,,187723.0,134509.0,,339364.0,160848.0,19522.0,10440.0,17338.0,,236884.0,13067.0,220052.0,8416.0,53908.0,96978.0,,127165.0,13248.0,9450.0,,19277.0,,57476.0,313720.0,221323.0,242361.0,156513.0,170726.0,18305.0,72526.0,320492.0,,79397.0,247460.0,,,50358.0,48399.0,14685.0,21336.0,13115.0,,34097.0,18435.0,108365.0,95431.0,48452.0,396348.0,946535.0,10392.0,115635.0,170795.0,231897.0,22011.0,317399.0,247012.0,,15726.0,106778.0,20580.0,34399.0,34643.0,235361.0,41139.0,4864.0,182205.0,11906.0,3005.0,15043.0,235874.0,25098.0,144846.0,144846.0
1970,16360.0,178164.0,115376.0,68380.0,27508.0,43462.0,82338.0,23049.0,13841.0,47265.0,75404.0,22602.0,11905.0,217924.0,262348.0,9244.0,107050.0,52292.0,47022.0,,,91061.0,14273.0,,105214.0,100516.0,35797.0,101920.0,176688.0,66958.0,,182072.0,145724.0,,319929.0,129910.0,22758.0,12727.0,18558.0,,230542.0,10001.0,222223.0,6511.0,45439.0,94448.0,64737.0,138733.0,13274.0,10000.0,,17655.0,,42232.0,340976.0,211422.0,283050.0,136671.0,129788.0,14481.0,70637.0,350386.0,,123514.0,255609.0,,,38449.0,51763.0,16204.0,19636.0,13091.0,,31605.0,17941.0,110626.0,110285.0,51987.0,415203.0,921258.0,10114.0,115933.0,176007.0,202944.0,23788.0,341304.0,252045.0,,16359.0,115256.0,20865.0,31326.0,31549.0,225001.0,35776.0,4916.0,171584.0,11579.0,2926.0,13779.0,244162.0,21743.0,152874.0,152874.0
