"Table 4--U.S. strawberry harvested acreage, yield per acre, and production, 13 States, 1970-2012 1/",,,,,,,,,,
Item,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979
,,,,,      -- Acres --,,,,,
Harvested acreage:,,,,,,,,,,
    Arkansas,"1,500","1,400","1,300","1,300","1,200","1,100","1,100",900,500,400
    California,"8,500","8,300","7,800","8,100","8,900","10,000","10,800","11,600","12,900","11,500"
    Florida,"1,800","1,600","1,600","1,400","1,300","1,200","1,400","1,500","2,200","2,400"
    Louisiana,"1,300","1,100","1,200","1,000",900,900,850,850,800,700
,,,,,,,,,,
    Michigan,"5,800","5,200","4,000","3,400","3,100","3,000","2,900","2,800","2,800","2,800"
    New Jersey,"1,300","1,300","1,200","1,100","1,000",900,800,900,"1,000",900
    New York,"1,700","1,600","1,300","1,500","1,600","1,800","1,900","2,100","2,200","2,500"
    North Carolina,"1,800","1,900","2,100","2,100","2,000","2,100","2,100","2,100","2,100","2,100"
    Ohio,"1,500","1,600","1,700","1,400","1,400","1,400","1,400","1,600","1,900","1,900"
,,,,,,,,,,
    Oregon,"11,000","10,000","8,200","7,400","6,700","5,800","5,200","5,300","5,000","5,200"
    Pennsylvania,"1,300","1,300","1,300","1,200","1,100","1,200","1,300","1,400","1,500","1,500"
    Virginia,"1,000",870,750,600,400,400,--,--,--,--
    Washington ,"4,100","4,100","3,800","3,600","3,600","3,400","3,300","3,300","3,300","3,100"
    Wisconsin,"1,500","1,500","1,400","1,400","1,300","1,400","1,400","1,300","1,400","1,500"
,,,,,,,,,,
      U.S. total,"50,400","47,780","43,410","40,610","39,260","39,590","34,450","35,650","37,600","36,500"
,,,,,,,,,,
,,,,,"-- 1,000 pounds --",,,,,
Yield per acre:,,,,,,,,,,
    Arkansas,3,2.5,2.5,2.2,2.3,4.1,4.5,4.8,4,4.4
    California,34,36.5,36.5,39.5,43,38,39,45,39,41
    Florida,8,11,12.5,13.5,13.5,16.5,15,14.5,16,16
    Louisiana,5.8,7.4,6,6.1,6.1,7.3,7.1,6.1,6.6,6.5
,,,,,,,,,,
    Michigan,4.4,4.8,5.3,4.4,5.7,6.5,8,7,7.5,7
    New Jersey,5.2,5.3,3.8,4.2,5.3,4.5,4.5,4.3,5,3.8
    New York Yield,3.9,3.5,2.4,4,4.2,4.1,3.3,4.3,4.9,5.5
    North Carolina,2,1.8,0.9,3.2,2.8,2.3,2.1,2,1.5,2.5
    Ohio,3.6,3.7,4,3.6,4.6,4.9,5.7,4.9,5.8,5.5
,,,,,,,,,,
    Oregon,6.5,8.3,6.7,6.6,6.2,7.2,9.2,6.6,6.8,8.2
    Pennsylvania,3.6,3.6,3.1,3.2,3.7,4,3.8,4.2,3.7,3.8
    Virginia,2.8,2.4,2.3,1.9,2,2.5,--,--,--,--
    Washington ,7.3,6.5,6.4,6,6.3,6.8,7.6,6.1,5.3,5.3
    Wisconsin,2.8,2.9,2.3,2.7,4.9,4.6,3,2.4,3.9,3.1
,,,,,,,,,,
      U.S. total,9.8,10.9,10.6,11.8,13.7,13.9,16.9,18.6,17.5,17.5
,,,,,,,,,,
,,,,, -- Million pounds --,,,,,
Production:,,,,,,,,,,
    Arkansas,4.5,3.5,3.3,2.9,2.8,4.5,5,4.3,2,1.8
    California,289,303,284.7,320,382.7,380,421.2,522,503.1,471.5
    Florida,14.4,17.6,20,18.9,17.6,19.8,21,21.8,35.2,38.4
    Louisiana,7.5,8.1,7.2,6.1,5.5,6.6,6,5.2,5.3,4.6
,,,,,,,,,,
    Michigan,25.5,25,21.2,15,17.7,19.5,23.2,19.6,21,19.6
    New Jersey,6.8,6.9,4.6,4.6,5.3,4.1,3.6,3.9,5,3.4
    New York,6.6,5.6,3.1,6,6.7,7.4,6.3,9,10.8,13.8
    North Carolina,3.6,3.4,1.9,6.7,5.6,4.8,4.4,4.2,3.2,5.3
    Ohio,5.4,5.9,6.8,5,6.4,6.9,8,7.8,11,10.5
,,,,,,,,,,
    Oregon,71.5,83,54.9,48.8,41.5,41.8,47.8,35,34,42.6
    Pennsylvania,4.7,4.7,4,3.8,4.1,4.8,4.9,5.9,5.6,5.7
    Virginia,2.8,2.1,1.7,1.1,0.8,1,--,--,--,--
    Washington ,29.9,26.7,24.3,21.6,22.7,23.1,25.1,20.1,17.5,16.4
    Wisconsin,4.2,4.4,3.2,3.8,3.8,6.4,4.2,3.1,5.5,4.7
,,,,,,,,,,
      U.S. total,496,520.7,460.2,479.6,536.2,550.6,580.7,661.9,659.2,638.3
See footnotes at the end of table.,,,,,,,,,--Continued--,
,,,,,,,,,,
,,,,,,,,,,
