"Table 4--U.S. strawberry harvested acreage, yield per acre, and production, 13 States, 1970-2012 1/",,,,,,,,,,,,,,,,,,,,,,,
Item,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012 2/
,,,,,,,,,,,      -- Acres --,,,,,,,,,,,,
Harvested acreage:,,,,,,,,,,,,,,,,,,,,,,,
    Arkansas,230,230,230,230,180,180,170,210,180,210,--,--,--, -- , -- , -- , -- , -- , -- , -- , -- , -- , -- 
    California,"21,000","21,100","24,000","25,100","23,300","23,600","25,200","22,600","24,200","25,800","27,600","26,400","28,500","29,600","33,200","34,300","35,800","35,500","37,600","39,800","38,600","38,000","38,500"
    Florida,"5,300","5,500","5,400","5,800","5,800","6,000","6,000","6,100","6,200","6,200","6,300","6,500","6,900","7,100","7,100","7,300","7,300","6,600","6,900","8,800","8,800","9,900","8,700"
    Louisiana,750,850,"1,000","1,100","1,100",950,750,450,400,400,--,--,--, -- , -- , -- , -- , -- , -- , -- , -- , -- , -- 
,,,,,,,,,,,,,,,,,,,,,,,
    Michigan,"2,200","2,100","2,000","1,900","1,800","1,700","1,500","1,500","1,400","1,400","1,200",900,"1,200","1,100",900,"1,000",850,850,800,800,750,700,650
    New Jersey,500,500,500,500,450,450,450,450,450,450,450,400,--, -- , -- , -- , -- , -- , -- , -- , -- , -- , -- 
    New York,"2,700","3,400","2,600","2,600","2,400","2,200","1,900","1,600","1,600","1,600","1,600","1,600","1,400","1,500","1,500","1,500","1,500","1,400","1,400","1,400","1,400","1,400","1,400"
    North Carolina,"2,100","2,200","2,300","2,400","2,400","2,400","1,800","1,500","1,600","1,600","1,700","1,700","1,800","1,700","1,600","1,500","1,600","1,500","1,600","1,500","1,500","1,500","1,500"
    Ohio,"1,100","1,000","1,200","1,200","1,200","1,100","1,000",950,700,700,700,700,800,800,800,800,750,780,770,710,730,730,660
,,,,,,,,,,,,,,,,,,,,,,,
    Oregon,"5,700","5,600","6,100","6,200","6,100","5,700","5,200","5,000","4,400","4,200","3,500","3,100","3,000","2,600","2,400","2,200","2,100","1,900","1,800","1,700","1,900","2,000","2,000"
    Pennsylvania,"1,700","1,600","1,500","1,500","1,500","1,400","1,300","1,400","1,200","1,300","1,300","1,300","1,300","1,300","1,300","1,300","1,200","1,200","1,200","1,100","1,100",990,820
    Virginia,--,--,--,--,--,--,--,--,--,--,500,500,--, -- , -- , -- , -- , -- , -- , -- , -- , -- , -- 
    Washington ,"1,800","1,400","1,600","1,600","1,400","1,300","1,300","1,400","1,500","1,500","1,500","1,600","1,800","1,800","1,800","1,700","1,600","1,600","1,600","1,500","1,500","1,500","1,300"
    Wisconsin,"1,100","1,200","1,100","1,100","1,200","1,100","1,100","1,100","1,100","1,100","1,000","1,000",900,900,900,860,760,850,800,770,710,700,610
,,,,,,,,,,,,,,,,,,,,,,,
      U.S. total,"46,180","46,680","49,530","51,230","48,830","48,080","47,670","44,260","44,930","46,460","47,350","45,700","47,600","48,400","51,500","52,460","53,460","52,180","54,470","58,080","56,990","57,420","56,140"
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"-- 1,000 pounds --",,,,,,,,,,,,
Yield per acre:,,,,,,,,,,,,,,,,,,,,,,,
    Arkansas,2.4,3.5,2.4,3,3,6.7,2.1,7.1,4.4,5.2,--,--,--, -- , -- , -- , -- , -- , -- , -- , -- , -- , -- 
    California,47,52,43,45.5,57,55,54,59,56,59.5,57,52,56.5,64.5,59,60,59,60.5,60.5,62.5,67,68,72
    Florida,22,24,30,28,29,28,26,29,26,30,35,26,25.5,22,23,24.5,28,32,26,27,22,25,21
    Louisiana,7.8,6.5,12,10,14,9.5,7.5,11,15,15,--,--,--, -- , -- , -- , -- , -- , -- , -- , -- , -- , -- 
,,,,,,,,,,,,,,,,,,,,,,,
    Michigan,6.5,6.2,6.6,6,5.5,6,4,6.5,6.8,6.4,6.9,5.6,4.7,5.7,4.6,5.2,6.5,5.1,6.1,5.8,3.9,4.4,5.1
    New Jersey,4.2,3.8,5,3.5,3.1,3.4,3.5,4.4,4.4,4.4,3.6,4.5,--, -- , -- , -- , -- , -- , -- , -- , -- , -- , -- 
    New York Yield,6.3,5.6,3,6,4,3.5,3.9,4.2,3.8,4.9,4.1,3.8,4.5,3.3,4.3,3.5,2.9,3.3,3.2,3.1,2.5,2.6,2.3
    North Carolina,6,5.5,5.5,4.5,6.5,8,9,12,12.5,11,13.5,11.5,12.5,10,11,13,13.5,12.5,13,13,12,13,13.5
    Ohio,6.5,5.3,7.1,5.3,5.1,4.5,3.6,3.6,5.1,4,4.4,4.6,3.5,4.8,4.8,5.3,5.7,4.9,5.5,4.2,4.8,3.6,4.2
